site_name,reg_no,permit_date,program_type,county,regional_office,pdf_url
Northrop Grumman Systems Corporation,11541,3,05/16/2008,Article 6 - mNSR,Russell County,https://www.deq.virginia.gov/home/showpublisheddocument/25638/638627839057970000
DP Facilities Inc South LLC,11790,1,08/23/2016,Article 6 - mNSR,Wise County,https://www.deq.virginia.gov/home/showpublisheddocument/25640/638627840699300000
Microsoft Corporation - East Coast Data Center,21527,7,04/24/2024,Article 1 - Title V,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25642/638627842668970000
Microsoft Corporation - East Coast Data Center,21527,15,09/19/2023,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25644/638627844150500000
TECfusions Clarksville LLC,30142,3,02/12/2025,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25646/638754663915730000
"Equinix, LLC - CU 1-4",41064,8,08/10/2018,Article 6 - mNSR,Culpeper County,https://www.deq.virginia.gov/home/showpublisheddocument/25648/638627869907800000
QTS Richmond Data Center,51232,16,06/24/2024,Article 6 - mNSR,Henrico County,https://www.deq.virginia.gov/home/showpublisheddocument/25650/638627871515730000
11751 Meadowville Owner LLC c/o GFH Capital Ltd,52173,1,03/23/2007,Article 6 - mNSR,Chesterfield County,https://www.deq.virginia.gov/home/showpublisheddocument/25652/638627883270030000
Bank of America - Villa Park Drive,52221,9,01/12/2026,Article 6 - mNSR,Henrico County,
Capital One Services Incorporated,52281,10,01/22/2026,Article 6 - mNSR,Henrico County,https://www.deq.virginia.gov/home/showpublisheddocument/25654/639080659420930000
Peak 10 Incorporated,52299,,09/12/2013,Article 6 - mNSR,Henrico County,https://www.deq.virginia.gov/home/showpublisheddocument/25656/638627887859570000
Bank of America-Sandston,52403,,02/09/2021,Article 6 - mNSR,Henrico County,https://www.deq.virginia.gov/home/showpublisheddocument/33144/639052996294330000
Chirisa Richmond LLC,52432,,07/07/2025,Article 6 - mNSR,Chesterfield County,https://www.deq.virginia.gov/home/showpublisheddocument/25658/638882565564200000
Scout Development LLC,52629,,06/27/2019,Article 6 - mNSR,Henrico County,https://www.deq.virginia.gov/home/showpublisheddocument/25660/638627890513100000
Microsoft Corp - LVL Data Center,52820,,09/05/2023,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25662/638627893416770000
Microsoft Corporation - Timber Data Center,52903,,09/19/2023,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25664/638627894486630000
Microsoft Corporation - AVC Data Center,52949,,09/28/2023,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25666/638627906559800000
Microsoft Corp DCS - AVC09 Datacenter,52973,,07/23/2025,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25668/638990809945670000
Microsoft Corporation - AVC43 Datacenter,53071,,07/12/2023,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25670/638627918390000000
Microsoft Corp - LYH10 Datacenter,53072,,07/13/2023,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25672/638627920046200000
Microsoft Corp - AVC17 Datacenter,53086,,04/22/2025,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/25674/638810119570570000
CLOP Ashland VA LLC,53197,,02/14/2025,Article 6 - mNSR,Hanover County,https://www.deq.virginia.gov/home/showpublisheddocument/27737/638754660651430000
Microsoft Corporation - LYH03 Datacenter,53198,,05/01/2025,Article 6 - mNSR,Mecklenburg County,https://www.deq.virginia.gov/home/showpublisheddocument/28826/638816888168930000
Sentara Healthcare,60353,,08/07/2015,Article 6 - mNSR,Virginia Beach City,https://www.deq.virginia.gov/home/showpublisheddocument/25680/638628502816630000
Vienna Cloud,71804,,02/27/2009,Article 5 - SOP,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25684/638628506835400000
Vienna Cloud,71804,,11/09/2016,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25686/638628507317470000
Coresite Real Estate 12100 Sunrise Valley Drive,72296,,01/31/2013,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25688/638628511407530000
"Verizon Business Network Services, Inc.",72367,,02/26/2020,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/26107/638639799345030000
"Oath, Inc.",72368,,08/28/2009,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/26109/638639800441670000
Comcast Cablevision of Virginia Incorporated,72374,,03/27/2014,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/26111/638639801563130000
"Chantilly Technology Partners, LLC/H5 VA",72375,,04/04/2014,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25692/638628514057870000
Freddie Mac Corporation,73105,,07/26/2007,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/26113/638639802622270000
22810-22860 International Drive LLC,73158,,09/16/2003,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25694/638628516862330000
21110 Ridgetop Circle LLC,73160,,10/30/2019,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25696/638628517902900000
"Digital Realty - Lemur Properties, LLC (VA3)",73162,,03/05/2010,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/26115/638639803959100000
RREEF America REIT II Corp. VVV,73170,,11/22/2000,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25698/638628519198400000
Digital Realty - Porpoise Ventures LLC (VA4),73180,,08/07/2008,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/26117/638639805143900000
Equinix LLC,73199,,04/28/2009,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25700/638628520305900000
"Equinix, LLC - DC 14",73200,,10/19/2006,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25702/638628522004500000
"Equinix, LLC - DC 14",73200,,10/18/2007,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25704/638628522430330000
Valo Park,73230,,01/09/2009,Article 5 - SOP,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25706/638628524505270000
Equinix LLC,73233,,03/19/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25708/638628525678670000
21571 Beaumeade Circle LLC,73240,,09/24/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25626/638627826472770000
22995 Wilder Court LLC,73293,,08/12/2010,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25710/638628529262630000
"Amazon Data Services, Inc. IAD-1 IAD-9",73294,,10/11/2024,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25712/638651993618500000
"Plaza Office Realty II, LLC",73326,,07/14/2005,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25714/638628531918470000
VeriSign Incorporated Broad Run Facility2,73341,,07/25/2008,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25716/638628533707970000
"Amazon Data Services, Inc. IAD-6 IAD-13 IAD-54",73355,,05/19/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25718/638833284719930000
Inova Health Care Systems - IT Operations,73363,,07/16/2014,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25720/638628535905830000
New Dominion Technology Park LLC,73369,,09/26/2007,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25722/639080659417500000
Digital Realty - Ashburn Campus,73370,,08/27/2013,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25724/638628554884570000
Digital Realty - Ashburn Campus,73370,,12/07/2016,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25726/638628555336170000
Digital Realty - Ashburn Campus,73370,,08/23/2017,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25728/638628555765770000
StratCap,73567,,11/07/2007,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25731/638628562585630000
Visa USA Incorporated,73643,,12/19/2007,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25736/638628566270800000
Visa USA Incorporated,73643,,08/28/2009,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25738/638628566681670000
Visa USA Incorporated,73643,,04/29/2010,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25740/638628567068870000
Visa USA Incorporated,73643,,10/13/2011,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25742/638628567408370000
Digital Loudoun Pkwy Center N LLC,73670,,10/04/2017,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25744/638628569542570000
Digital Loudoun Pkwy Center N LLC,73670,,03/14/2025,Article 1 - Title V,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25746/638778906125130000
Corporate Office Properties Trust (COPT - DC6),73683,,08/24/2021,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25752/638628571437070000
"Zayo Group, LLC",73717,,01/15/2009,Article 5 - SOP,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25754/638628573243030000
"Zayo Group, LLC",73717,,05/29/2019,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25756/638628573682400000
"Amazon Data Services, Inc. IAD-7 IAD-11 IAD-24",73741,,05/21/2025,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25758/638835024353900000
"Zayo Group, LLC",73743,,08/04/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25760/638900633355070000
"QTS Dulles, LLC",73757,,07/30/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25762/638628579005200000
Northrop Grumman Systems Corporation,73798,,03/02/2011,Article 5 - SOP,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25766/638628579967470000
"Equinix, LLC - DC 97",73809,,06/03/2010,Article 5 - SOP,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/26119/638639806328030000
Northrop Grumman Services Corporation,73813,,01/26/2011,Article 5 - SOP,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25770/638628584702270000
Level 3 Communications Herndon Gateway,73823,,11/17/2014,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25772/638628585470870000
"Amazon Data Services, Inc. IAD-10 IAD-32 IAD-98 IAD-99 IAD-118 IAD-119 IAD-129",73853,,08/27/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25624/638627824035800000
